analysis_id,2a90irism13vbw4
gene_accession_id,MGI:95576
pvalue,0.2818344
parameter_id,MGP_MLN_005_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Fpgs
