parameter_name,LVIDd
parameter_id,IMPC_ECH_008_001
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.689055
analysis_id,np1n2br1785r0j3
