parameter_id,IMPC_IMM_051_001
mouse_strain,C57BL
gene_accession_id,MGI:2651854
pvalue,0.6759653
parameter_name,Monocytes
analysis_id,6z0q440h4591g15
gene_symbol,Atg4c
mouse_life_stage,Early adult
