analysis_id,cf6fi2641fp9yw3
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
mouse_strain,129SV
parameter_name,MZB (CD21/35 high)
pvalue,0.6161844
parameter_id,IMPC_IMM_071_001
