parameter_name,BMC/Body weight
mouse_strain,C57BL
pvalue,0.8291584
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
analysis_id,sga1u558h619217
gene_symbol,Cldn19
