analysis_id,fap10e76zs31985
gene_symbol,Tubb4b
parameter_name,Anophthalmia
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1186298
gene_accession_id,MGI:1915472
parameter_id,IMPC_GEO_048_002
