mouse_strain,B6J
parameter_id,IMPC_IMM_065_001
gene_symbol,Nr0b2
analysis_id,9243bh2zzmu66a7
parameter_name,B2B Cells
mouse_life_stage,Early adult
pvalue,0.1914176
gene_accession_id,MGI:1346344
