analysis_id,32o658eql338gzc
mouse_strain,C57BL
parameter_name,Edema
gene_symbol,Nemp2
pvalue,0.6396701
parameter_id,IMPC_GEO_064_001
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
