analysis_id,fi82n844hng1i7q
mouse_life_stage,Early adult
parameter_name,Global prepulse inhibition
gene_symbol,Slc2a8
parameter_id,ESLIM_011_001_705
pvalue,0.5336782
gene_accession_id,MGI:1860103
mouse_strain,C57BL
