gene_symbol,Lurap1
gene_accession_id,MGI:1915325
pvalue,0.08488919
analysis_id,2u10jd634w8q03o
mouse_strain,C59BL
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_IMM_070_001
mouse_life_stage,Early adult
