parameter_name,Center permanence time
pvalue,0.961013
gene_symbol,Trpa1
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
analysis_id,9xre2nka6fsz20j
parameter_id,IMPC_OFD_016_001
mouse_strain,C52BL
