parameter_name,Periphery permanence time
parameter_id,JAX_OFD_012_001
analysis_id,o2j61s3e9zg6u2h
pvalue,0.580033
mouse_life_stage,E12.5
gene_accession_id,MGI:97838
gene_symbol,Eprs1
mouse_strain,C57BL
