parameter_name,Stroke Volume
pvalue,0.1533814
mouse_life_stage,Early adult
gene_symbol,Atrn
parameter_id,IMPC_ECH_003_001
mouse_strain,C57BL
gene_accession_id,MGI:1341628
analysis_id,lz774h2u7j5zy6s
