analysis_id,s3871752so495u7
parameter_name,Periphery distance travelled
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
parameter_id,JAX_OFD_010_001
mouse_strain,C57BL
gene_symbol,Cdin1
pvalue,0.9482413
