analysis_id,588357acg054xhk
parameter_id,IMPC_GEL_027_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Neural tube closure
pvalue,0.8718959
gene_symbol,AP5S1
gene_accession_id,MGI:1916846
