parameter_name,Lean mass
parameter_id,JAXLA_DXA_003_001
analysis_id,7zfe1059bhzbf27
gene_symbol,Bmi1
mouse_strain,C57BL
pvalue,0.1548818
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
