gene_symbol,Usp37
gene_accession_id,MGI:2442483
pvalue,0.6681574
parameter_name,Limb morphology
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
analysis_id,z1422duyom5mphi
