parameter_id,JAX_OFD_014_001
pvalue,0.06928331
parameter_name,Center distance travelled
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
analysis_id,59977aocl99b7wo
