analysis_id,96o0smyt41w3x3k
parameter_id,JAX_OFD_010_001
mouse_strain,C57BL
pvalue,0.2115915
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
parameter_name,Periphery distance travelled
gene_accession_id,MGI:109356
