analysis_id,085240t5ru9813l
gene_symbol,Mms22l
parameter_id,MGP_IMM_017_001
pvalue,0.3052283
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_accession_id,MGI:2684980
