gene_symbol,Dcaf12
mouse_strain,C57BL
parameter_name,IgD+ mature B cell percentage
pvalue,0.3309319
gene_accession_id,MGI:1916220
parameter_id,MGP_PBI_015_001
mouse_life_stage,Early adult
analysis_id,8952g3709mjwn9a
