analysis_id,33rgr88tzv71575
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2443773
parameter_id,IMPC_CBC_016_001
parameter_name,HDL-cholesterol
gene_symbol,F2
