analysis_id,8n8e8q4089o5v02
pvalue,0.07691635
gene_accession_id,MGI:99605
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Cntfr
parameter_id,ESLIM_016_001_005
parameter_name,Mean cell volume
