gene_symbol,Kdm5b
parameter_id,JAXLA_OFD_007_001
gene_accession_id,MGI:1922855
analysis_id,5kkq2q5m0r36zj1
parameter_name,Whole arena resting time
pvalue,0.4155295
mouse_strain,C50BL
mouse_life_stage,Early adult
