analysis_id,i46792fwd08sk27
pvalue,0.1116392
mouse_strain,C57BL
parameter_name,Percentage center time
gene_symbol,Zyg11b
mouse_life_stage,E18.5
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:2685277
