parameter_name,Eosinophil percentage
parameter_id,MGP_PBI_020_001
mouse_strain,C57BL
analysis_id,6u4khdbfn0xwfr8
pvalue,0.4312894
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
gene_symbol,Steap3
