gene_symbol,Mapkap1
pvalue,0.1581855
mouse_strain,C57BL
parameter_id,IMPC_HEM_039_001
analysis_id,x9xs7lv9d3llebj
parameter_name,Large Unstained Cell (LUC) count
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
