gene_symbol,Trim46
mouse_strain,C57BL
pvalue,0.8704509
analysis_id,69pab691y7egu50
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_069_001
parameter_name,Transitional B Cells (CD21/35 low)
gene_accession_id,MGI:2673000
