parameter_name,Mean cell volume
pvalue,0.6877367
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
analysis_id,50i5jn5515y084p
parameter_id,ESLIM_016_001_005
