gene_symbol,Rnf114
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
analysis_id,984l2n56az32s0p
parameter_name,Click-evoked ABR threshold
pvalue,0.832872
parameter_id,IMPC_ABR_002_001
