analysis_id,8e546nvy9s12ky2
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:1915062
mouse_life_stage,Early adult
gene_symbol,Ubxn4
mouse_strain,C56BL
parameter_name,Periphery permanence time
pvalue,0.2674082
