analysis_id,479a31qwnk9wq56
gene_symbol,Slc17a9
pvalue,0.7825673
parameter_id,IMPC_CBC_010_001
parameter_name,Phosphorus
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1919107
