parameter_name,Tongue out
analysis_id,3v23rirf8827unh
mouse_life_stage,Early adult
pvalue,0.3874418
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
parameter_id,IMPC_GEP_083_001
