gene_symbol,Hpca
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_strain,C57BL
analysis_id,3zo39mr75fwj101
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
parameter_id,MGP_IMM_013_001
pvalue,0.2239347
