gene_symbol,Nucks1
mouse_strain,C57BL
gene_accession_id,MGI:1934811
parameter_id,MGP_CSD_025_001
pvalue,0.0854349
mouse_life_stage,Early adult
parameter_name,Ventral coat/hair presence
analysis_id,mhbq3a7uw96wcn2
