parameter_name,center - distance
gene_symbol,Dmap1
pvalue,0.21307
mouse_life_stage,E12.5
analysis_id,580lj4y4125pk3k
parameter_id,M-G-P_007_001_010
mouse_strain,C57BL
gene_accession_id,MGI:1913483
