analysis_id,41tjy3j1f9vd90q
parameter_id,IMPC_CSD_047_001
pvalue,0.6226417
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
parameter_name,Hindlimb digit - size
mouse_strain,C57BL
