analysis_id,796uhq466k87kpj
pvalue,0.779469
gene_accession_id,MGI:109356
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
gene_symbol,Snap23
parameter_name,Basophil differential count
mouse_strain,C57BL
