analysis_id,065gy81m285815p
gene_symbol,Tiprl
mouse_life_stage,Early adult
parameter_name,T cells - % of CD45+
gene_accession_id,MGI:1915087
pvalue,0.8016974
mouse_strain,C57BL
parameter_id,MGP_BMI_019_001
