parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:105072
pvalue,0.5450773
parameter_id,IMPC_HEM_006_001
gene_symbol,Rab22a
analysis_id,f9xi55778868eje
mouse_strain,C57BL
mouse_life_stage,Early adult
