analysis_id,vu8ibnk708vk0wz
mouse_strain,C57BL
pvalue,0.6442347
gene_accession_id,MGI:106659
parameter_name,Ly6Clow monocyte percentage
gene_symbol,Sprr1b
parameter_id,MGP_PBI_018_001
mouse_life_stage,Early adult
