gene_symbol,Trdmt1
analysis_id,6hhjaqy0xes2j98
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAXLA_CBC_015_001
gene_accession_id,MGI:1274787
parameter_name,Total cholesterol
pvalue,0.3469204
