Analysis_id,wlvo199oe0i3119
Parameter_id,IMPC_EYE_001_001
Gene_accession_id,MGI:1917810
Mouse_life_stage,E9.5
Mouse_strain,C57BL
Parameter_name,Eye
Pvalue,0.06796107
Gene_symbol,Wars2
