gene_symbol,Zyg11b
mouse_strain,C57BL
gene_accession_id,MGI:2685277
parameter_id,MGP_BMI_019_001
analysis_id,dg235292e8j1336
pvalue,0.1023504
parameter_name,T cells - % of CD45+
mouse_life_stage,Early adult
