mouse_life_stage,E12.5
pvalue,0.3906905
gene_accession_id,MGI:97838
parameter_id,MGP_IMM_015_001
gene_symbol,Eprs1
analysis_id,hptc8z888t6xecu
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
