gene_symbol,Pum1
parameter_name,Body weight
analysis_id,3jmc774751j3lyq
mouse_strain,C57BL
gene_accession_id,MGI:1931749
parameter_id,M-G-P_009_001_003
pvalue,0.7992167
mouse_life_stage,Early adult
