parameter_id,JAXLA_DXA_009_001
mouse_strain,C57BL
parameter_name,Fat/Body weight
gene_symbol,Traf6
mouse_life_stage,Early adult
analysis_id,z990y49iz836y64
pvalue,0.2155231
gene_accession_id,MGI:108072
