gene_symbol,Duoxa2
mouse_strain,C57BL
analysis_id,42z7559i83u2o02
mouse_life_stage,Early adult
parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.7203563
gene_accession_id,MGI:1914061
parameter_id,IMPC_IMM_032_001
