parameter_name,Snout morphology
parameter_id,MGP_CSD_066_001
gene_symbol,Secisbp2l
analysis_id,5z7xa501j4873nv
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
pvalue,0.6228236
