analysis_id,4a14zkr4j746270
gene_accession_id,MGI:1921688
mouse_strain,C57BL
pvalue,0.8702354
parameter_name,Mean corpuscular hemoglobin
gene_symbol,Clvs1
parameter_id,IMPC_HEM_006_001
mouse_life_stage,Early adult
