analysis_id,umikq586w6vb9sr
mouse_life_stage,Early adult
gene_symbol,Bpifa3
parameter_id,HMGULA_HWT_008_001
mouse_strain,129SV
gene_accession_id,MGI:1920638
parameter_name,Heart weight
pvalue,0.7943267
