parameter_name,cDCs CD11b Type
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Sfpq
parameter_id,IMPC_IMM_073_001
analysis_id,4ru070et24q7ito
pvalue,0.6492364
gene_accession_id,MGI:1918764
