analysis_id,y3l46nt580c4n93
parameter_name,Total cholesterol
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_015_001
pvalue,0.7884962
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
