analysis_id,i6ur9g6750ge7gy
pvalue,0.1893811
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Weight
gene_accession_id,MGI:1332236
parameter_id,CCP_LFO_001_001
gene_symbol,Cds2
