parameter_name,Alanine aminotransferase
gene_accession_id,MGI:1336200
mouse_strain,C57BL
gene_symbol,Hpca
analysis_id,rrb34qxb4n2ov37
mouse_life_stage,Early adult
pvalue,0.7582455
parameter_id,IMPC_CBC_013_001
