parameter_name,eye size
gene_accession_id,MGI:1915087
analysis_id,09qika242303vg7
gene_symbol,Tiprl
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,ESLIM_001_001_117
pvalue,0.9640485
