gene_symbol,Maco1
mouse_life_stage,Early adult
analysis_id,rl5639wr79193dt
mouse_strain,C57BL
parameter_id,MGP_IMM_079_001
pvalue,0.9330919
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:1913396
