gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
mouse_strain,C57BL
parameter_id,M-G-P_013_001_001
parameter_name,Eye
analysis_id,4sp6x936y713zt5
mouse_life_stage,Early adult
pvalue,0.6217089
