analysis_id,342747a9qp4rs00
parameter_id,ESLIM_016_001_003
gene_symbol,Snrpb2
pvalue,0.9177902
mouse_strain,C57BL
parameter_name,Haemoglobin
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
