analysis_id,6rwfsz0wb29f4d1
mouse_strain,C57BL
parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
gene_accession_id,MGI:97838
gene_symbol,Eprs1
pvalue,0.8928782
parameter_id,M-G-P_007_001_008
