parameter_name,Mean-corpuscular-haemoglobin
gene_accession_id,MGI:2135738
mouse_strain,C57BL
pvalue,0.999158
parameter_id,M-G-P_016_001_006
analysis_id,2m4t5a4vtc0bbd3
gene_symbol,Abo
mouse_life_stage,Early adult
