analysis_id,044fvqq9xz63765
mouse_strain,C57BL
gene_symbol,Exd1
pvalue,0.2237971
parameter_name,Total ab T cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_070_001
gene_accession_id,MGI:3045306
