analysis_id,5yovv17943d6092
parameter_name,LDL-cholesterol
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
gene_symbol,Zc2hc1a
parameter_id,IMPC_CBC_025_001
pvalue,0.7261196
mouse_strain,C57BL
