gene_symbol,Amigo1
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:2653612
pvalue,0.1279047
mouse_life_stage,Early adult
parameter_id,MGP_IMM_078_001
mouse_strain,C57BL
analysis_id,w7v3l72t83r89iv
